army_template_1005047425_name	Feathered Squadron
army_unit_2092037309_desc	[CreatureName]Long-Tailed Serpent<br>[CreatureBody]Giant Long-Tailed Serpents roamed the expanses of Reikai before the War with the Guardians. They were transformed by the Energy of the Cataclysm and became swifter, more poisonous, more dangerous, and more deadly. Their bite is not only damaging but can also poison the victim for a period of time.<br><font=tahoma_regular_8><align=left><color=FFFFFF><font=tahoma_bold_8>Class:<color=FF0000> Warrior<br><color=FFFFFF>Type: <color=FF0000>Common<br><color=FFFFFF>Leadership Cost: <color=00B0F0> 12<br><color=FFFFFF>Health: <color=00B0F0>60<br><color=FFFFFF>Attack: <color=00B0F0>26<br><color=FFFFFF>Defence: <color=00B0F0>24<br><color=FFFFFF>Initiative: <color=00B0F0>20<br><color=FFFFFF>Speed: <color=00B0F0>5<br><color=FFFFFF>Critical Chance: <color=00B0F0>10%<br><color=FFFFFF>Chance of Missing: <color=00B0F0>10%<br><color=FFFFFF>Physical Resistance: <color=E36C0A>25<br><color=FFFFFF>Alchemical Resistance: <color=00B050>5<br><color=FFFFFF>Magical Resistance: <color=7030A0>30
army_unit_2092037309_name	Long-Tailed Serpent
army_unit_2140383323_desc	[CreatureName]Demoness<br>[CreatureBody]Incarnations of ancient fire spirits from another world, from whence they were summoned by the Guardians. These creatures of fire and magic can ignite the battlefield and make all, even the strongest and most steadfast warriors, vulnerable.<br><font=tahoma_regular_8><align=left><color=FFFFFF><font=tahoma_bold_8>Class:<color=FF0000> Sorcerer<br><color=FFFFFF>Type: <color=FF0000>Legendary<br><color=FFFFFF>Leadership Cost: <color=00B0F0> 20<br><color=FFFFFF>Health: <color=00B0F0>71 <br><color=FFFFFF>Attack: <color=00B0F0>29<br><color=FFFFFF>Defence: <color=00B0F0>15<br><color=FFFFFF>Initiative: <color=00B0F0>40<br><color=FFFFFF>Speed: <color=00B0F0>2<br><color=FFFFFF>Chance of Critical Hit: <color=00B0F0>10%<br><color=FFFFFF>Chance of Missing: <color=00B0F0>10%<br><color=FFFFFF>Physical Resistance: <color=E36C0A>10<br><color=FFFFFF>Alchemical Resistance: <color=00B050>40<br><color=FFFFFF>Magical Resistance: <color=7030A0>25
army_unit_2140383323_name	Demoness
army_unit_222222_desc	A special protective structure which protects units.<br><br>Artifact Object (unaffected by mind control effects, speed modifiers, and combat parameter changes).
army_unit_222222_name	Barrier
army_unit_224597892_desc	Eyebeasts were formed in the dark caves of the Cultists. They can gather astral energy in a beam, which not only causes immense damage, but can also put the target to sleep.
army_unit_224597892_name	Eyebeast
army_unit_279374933_desc	A necromancer who started a campaign of sabotage on the island in his quest for unlimited power and the destruction of the Kingdom.<br><br>Great Necromancer - immune to mind control and speed modifiers.
army_unit_279374933_name	Lazarus
army_unit_30884490_desc	[CreatureName]Archer
army_unit_30884490_name	Swamp Serpent
army_unit_318826550_desc	[CreatureName]Archer
army_unit_318826550_name	Land Brontaur
army_unit_333333_desc	A huge nest filled with angry, buzzing wasps.<br><br>Artifact Object (unaffected by mind control effects, speed modifiers, and combat parameter changes).
army_unit_333333_name	Wasp’s Nest
army_unit_336241499_desc	He is a great night hunter. He draws strenth and agility in the Nature itself. Not so many creatures can resist his powerful jaws and claws.
army_unit_336241499_name	Night Wolf
army_unit_347648649_desc	A terrifying inhabitant of high mountains, capable of throwing huge stones.
army_unit_347648649_name	Cyclops
army_unit_353366533_desc	[CreatureName]Archer
army_unit_353366533_name	Mad Ghost
army_unit_364604221_desc	[CreatureName]Archer
army_unit_364604221_name	Young Dragon
army_unit_433487274_desc	Dark crystal (OLD)
army_unit_433487274_name	Dark crystal (OLD)
army_unit_440124720_desc	Forest Guardians have guarded the woodlands for many years. The forces of Earth have given them many magical abilities, making them dangerous opponents able to handle imposing packs of enemies as well as protect their allies.
army_unit_440124720_name	Forest Guardian
army_unit_501131414_desc	Paladins are, without a doubt, the elite warriors of the Royal Army. They wear enchanted armour. Using their spiritual strength, they energize their swords, which then can attack several enemies with one blast of astral energy.
army_unit_501131414_name	Paladin
army_unit_517724369_desc	Special reinforced protection.<br><br>Artefact object (total protection from the effects of mind control and speed change spells and changes in battle parameters.)
army_unit_517724369_name	Green Defence Tower
army_unit_608947275_desc	[CreatureName]Archer
army_unit_608947275_name	Ghost of Judgment
army_unit_614033656_desc	An ancient snake is not only able to inflict serious damage, but use mind control as well. Often, lost travelers become mindless zombies under her influence.
army_unit_614033656_name	Ancient Serpent
army_unit_679014690_desc	Ancient, wise and powerful creatures, able to bury adversaries in a tangle of their roots or to beat them mercilessly. Wild bees live in the Ents’ branches, and at the command of their host, they will fight any enemy.
army_unit_679014690_name	Ancient Ent
army_unit_680011335_desc	Special reinforced protection.<br><br>Artefact object (total protection from the effects of mind control and speed change spells and changes in battle parameters.)
army_unit_680011335_name	Wall
army_unit_711345374_desc	An ancient forest dragon with the ability to heal its allies.
army_unit_711345374_name	Emerald Dragon
army_unit_72516424_desc	The Cataclysm didn't completely kill everyone. Spirits chained to this world still roam the ruins of what were once cities. These ghosts don't just drink the life of their victims, they weaken their victims' strength as they do so.
army_unit_72516424_name	Ghost
army_unit_727437293_desc	[CreatureName]Creature<br>[CreatureBody]This is the Guardians’ War Golem. It feeds on energy from another world and on the strength of its Masters. They are a remnant of the war still lingering in the remote corners of Reikai. The Creatures poison and weaken the enemy, then wait as he slowly dies from their venom.<br><font=tahoma_regular_8><align=left><color=FFFFFF><font=tahoma_bold_8>Class:<color=FF0000> Archer<br><color=FFFFFF>Type: <color=FF0000>Common<br><color=FFFFFF>Leadership Cost: <color=00B0F0> 15<br><color=FFFFFF>Health: <color=00B0F0>49 <br><color=FFFFFF>Attack: <color=00B0F0>20<br><color=FFFFFF>Defence: <color=00B0F0>19<br><color=FFFFFF>Initiative: <color=00B0F0>40<br><color=FFFFFF>Speed: <color=00B0F0>6<br><color=FFFFFF>Critical Chance: <color=00B0F0>10%<br><color=FFFFFF>Chance of Missing: <color=00B0F0>10%<br><color=FFFFFF>Physical Resistance: <color=E36C0A>15<br><color=FFFFFF>Alchemical Resistance: <color=00B050>10<br><color=FFFFFF>Magical Resistance: <color=7030A0>5
army_unit_727437293_name	Creature
army_unit_730969985_desc	In harmony with nature, these wonderful and kind units have learned to use ancient forces against their enemies. Dryads can inspire allies and put enemies to sleep, easily striking enemies from a distance with magic dust.
army_unit_730969985_name	Dryad
army_unit_742852531_desc	Alchemists have made good progress in their attempts to combine magic and technology. They can deal damage using enchanted poison or destroy an enemy by tossing a grenade.
army_unit_742852531_name	Alchemist
army_unit_760351288_desc	[CreatureName]Archer
army_unit_760351288_name	Ancient Bear
army_unit_782676500_desc	A bear overtaken by dark magic. He is endowed with immense physical strength and endurance, which help him crush his enemies. His possession makes him stronger and faster, but the madness with which he charges into battle may play an evil trick on him.
army_unit_782676500_name	Possessed Bear
army_unit_807361275_desc	An experienced swordsman is able not only to protect his allies, but also to deal serious damage on the battlefield. His heavy armour protects him well from the attacks of his enemies.
army_unit_807361275_name	Swordsman
army_unit_810216637_desc	A statue of one of the highest goddesses, the patron of health and long life.<br><br>Artifact Object (unaffected by mind control effects, speed modifiers, and combat parameter changes).
army_unit_810216637_name	Holy Statue
army_unit_810301987_desc	A statue of the Holy Goddess Imiret which protects residents from various afflictions.
army_unit_810301987_name	Statue of the Holy Goddess
army_unit_814856525_desc	An inventor who has gained control of magical forces and uses them to drive machines. He knows how to remove harmful or helpful magical effects with the help of secret potion recipes learned from the books of ancient herbalists.
army_unit_814856525_name	Inventor
army_unit_845436252_desc	Archmages have reached the highest levels of success in mastering sorcery. Even experienced adversaries cannot withstand their magical attacks, and their manipulation of time itself allows their allies to perform unbelievable maneuvers on the battlefield.
army_unit_845436252_name	Archmage
army_unit_846998553_desc	After the Cataclysm, these carnivorous plants spread quickly through Reikai. The Thorn Hunters can shoot their seeds at the enemy, causing incredible pain and scarring.
army_unit_846998553_name	Thorn Hunter
army_unit_849617342_desc	[CreatureName]Archer
army_unit_849617342_name	Plaguebringer
army_unit_857948034_desc	Cave spiders are yet another product of the Cataclysm. These Beasts are very easy to train. With one spit, they can trap an opponent from head to toes in a sticky web, constricting his movement.
army_unit_857948034_name	Cave Spider
army_unit_870388235_desc	[CreatureName]Archer
army_unit_870388235_name	Thorn Monster
army_unit_874729719_desc	An inhabitant of the northern islands of the Archipelago, The Polar Bear possesses immense health and physical power. Danger evokes the Spirit of the North in the Polar Bear, which reduces the unit's mobility, but protects it from damage, while Ice Claws enable it to slow down enemies.
army_unit_874729719_name	Polar Bear
army_unit_887616041_desc	These creatures are not related to true dragons, though they had once served them. After the fall of the Abode of the Lords, the draconids settled on some of the islands of the Archipelago of Hope. They are hardly aggressive and easily tamed, but the enemy may find them to be formidable opponents.
army_unit_887616041_name	Lake Draconid
army_unit_889071578_desc	The Dwarvish guns and arbalests have passed into legend along with their creators, but the bow remains. The art of archery is not a simple one, but its ranged attacks are the most accurate. An experienced archer is a serious enemy, thanks to his powerful shots and poisoned arrows.
army_unit_889071578_name	Archer
army_unit_897452381_desc	A shaman apprentice of Saurian tribe who uses the secret magic to harm enemies from a distance. Their powers of natural magical are strong, but they lack the knowledge to use more complicated spells.
army_unit_897452381_name	Gargoyle Trainee
army_unit_907864820_desc	A Demonologist is one who has entered into an agreement with demons to be given extraordinary magical power. Mere appearance of this Mage on the battlefield can attack terror in the enemies’ hearts. After all, the Demonologist’s book of magical contains a multitude of spells that can change the flow of battle at any moment.
army_unit_907864820_name	Demonologist
army_unit_90917373_desc	A crystal set up by Morania to help your troops in battle with Lazarus. Cannot affect units of Chaos.<br><br>Artifact Object (unaffected by mind control effects, speed modifiers, and combat parameter changes).
army_unit_90917373_name	Protective Crystal
army_unit_933879072_desc	Skillful Archers who guard the forest boarders. Their bow skill is unrivaled. Their accurate shots cause deep, bleeding wounds and excruciating pain for a long time.
army_unit_933879072_name	Ranger
army_unit_951430670_desc	[CreatureName]Archer
army_unit_951430670_name	Incinerator
army_unit_995546218_desc	Black magic has disastrous effects on all living units. But unicorns, due to their natural vitality, are able to withstand the effects of dark curses and use them for extra strength. Now these unicorns are an excellent addition to any army.
army_unit_995546218_name	Black Unicorn



